tiketnumber,longitude,latitude,zip,classification,datereported
WL19008491,41.02616,-73.67817,10573,M,\/Date(1563914902000)\/
WL19008670,41.00518,-73.83689,10502,M,\/Date(1564336820000)\/
WL19008890,41.02997,-73.86585,10533,M,\/Date(1564850295000)\/
WL19009072,41.01787,-73.73035,10605,M,\/Date(1565281140000)\/
WL19009118,41.04031,-73.77239,10603,M,\/Date(1565367074000)\/
WL19009315,41.16423,-73.77766,10514,M,\/Date(1565804279000)\/
WL19009341,41.29223,-73.78134,10598,M,\/Date(1565882233000)\/
WL19009344,40.91798,-73.82516,10550,M,\/Date(1565882992000)\/
WL19009349,40.95379,-73.77854,10804,M,\/Date(1565887945000)\/
WL19009632,40.94043,-73.898,10701,M,\/Date(1566557678000)\/
WL19009811,40.95506,-73.72896,10543,M,\/Date(1566753058000)\/
WL19009830,41.02333,-73.76261,10605,M,\/Date(1566829261000)\/
WL19009840,40.9559,-73.83068,10707,M,\/Date(1566837521000)\/
WL19010282,40.9404,-73.77872,10804,M,\/Date(1567694797000)\/
WL19010513,41.03575,-73.86528,10533,M,\/Date(1567977982000)\/
WL19010588,41.03575,-73.86528,10533,M,\/Date(1568127455000)\/
WL19010625,40.9441,-73.74502,10543,M,\/Date(1568212130000)\/
WL19010997,40.96053,-73.68665,10580,M,\/Date(1568903488000)\/
WL19011060,40.94103,-73.82635,10708,M,\/Date(1568991020000)\/
WL19011075,40.98416,-73.88071,10706,M,\/Date(1568999360000)\/
WL19011272,41.13798,-73.85739,10510,M,\/Date(1569437343000)\/
WL19011352,41.16382,-73.77702,10514,M,\/Date(1569597459000)\/
WL19011381,41.06503,-73.85259,10591,M,\/Date(1569609893000)\/
WL19011463,40.91451,-73.89688,10705,M,\/Date(1569765275000)\/
WL19011595,40.93615,-73.79246,10804,M,\/Date(1570036720000)\/
WL19011667,41.00832,-73.69052,10573,M,\/Date(1570202450000)\/
WL19011719,41.04609,-73.78983,10603,M,\/Date(1570296227000)\/
WL19011912,40.96384,-73.80527,10709,M,\/Date(1570736059000)\/
WL19012048,41.1662,-73.77858,10514,M,\/Date(1571004133000)\/
WL19012163,40.91132,-73.88899,10705,M,\/Date(1571177132000)\/
WL19012182,40.93436,-73.84828,10708,M,\/Date(1571236526000)\/
WL19012288,41.01797,-73.75686,10605,M,\/Date(1571421435000)\/
WL19012578,41.03174,-73.68545,10573,M,\/Date(1571941485000)\/
WL19012606,41.02704,-73.68682,10573,M,\/Date(1572016237000)\/
WL19012629,40.96669,-73.77363,10804,M,\/Date(1572032010000)\/
WL19012658,40.90537,-73.81209,10803,M,\/Date(1572114796000)\/
WL19012716,41.00829,-73.78643,10583,M,\/Date(1572274801000)\/
WL19012864,41.021,-73.69033,10573,M,\/Date(1572471388000)\/
WL19012922,40.93926,-73.77171,10804,M,\/Date(1572625951000)\/
WL19012951,40.93742,-73.83189,10708,M,\/Date(1572702057000)\/
WL19012982,40.99278,-73.80303,10583,M,\/Date(1572739949000)\/
WL19013082,40.93701,-73.7936,10804,M,\/Date(1572962623000)\/
WL19013103,41.00294,-73.66641,10573,M,\/Date(1572972618000)\/
WL19013187,41.00698,-73.78679,10583,M,\/Date(1573074727000)\/
WL19013199,40.96404,-73.79602,10804,M,\/Date(1573088557000)\/
WL19013256,41.30063,-73.7931,10598,M,\/Date(1573220816000)\/
WL19013352,40.94836,-73.76624,10538,M,\/Date(1573421619000)\/
WL19013386,40.92811,-73.81738,10552,M,\/Date(1573494454000)\/
WL19013475,40.96344,-73.77793,10804,M,\/Date(1573667768000)\/
WL19013545,40.94275,-73.7558,10538,M,\/Date(1573758167000)\/
WL19013551,40.93964,-73.79897,10804,M,\/Date(1573759496000)\/
WL19013588,41.08435,-73.77727,10595,M,\/Date(1573827195000)\/
WL19013616,40.98191,-73.83191,10710,M,\/Date(1573838812000)\/
WL19013728,40.9279,-73.83229,10552,M,\/Date(1574091264000)\/
WL19013822,40.95447,-73.79823,10804,M,\/Date(1574220696000)\/
WL19013864,41.03663,-73.76512,10601,M,\/Date(1574280129000)\/
WL19013899,40.92204,-73.78255,10801,M,\/Date(1574346362000)\/
WL19013904,40.96977,-73.69237,10580,M,\/Date(1574349182000)\/
WL19013907,40.91575,-73.79507,10801,M,\/Date(1574349761000)\/
WL19013921,40.98962,-73.72138,10528,M,\/Date(1574356202000)\/
WL19013950,40.97937,-73.67842,10580,M,\/Date(1574398697000)\/
WL19013973,40.91051,-73.8876,10705,M,\/Date(1574437968000)\/
WL19014004,41.01666,-73.6852,10573,M,\/Date(1574523869000)\/
WL19014022,41.20945,-73.73165,10549,M,\/Date(1574547546000)\/
WL19014155,41.07208,-73.8589,10591,M,\/Date(1574712847000)\/
WL19014191,40.94996,-73.84873,10710,M,\/Date(1574772908000)\/
WL19014202,41.13303,-73.83628,10510,M,\/Date(1574781486000)\/
WL19014203,41.18998,-73.87127,10562,M,\/Date(1574781562000)\/
WL19014222,40.93555,-73.79224,10804,M,\/Date(1574791129000)\/
WL19014309,40.97699,-73.77547,10583,M,\/Date(1574957525000)\/
WL19014447,40.96816,-73.80989,10709,M,\/Date(1575379895000)\/
WL19014479,40.99915,-73.88165,10706,M,\/Date(1575410838000)\/
WL19014493,40.9707,-73.78125,10804,M,\/Date(1575468636000)\/
WL19014498,40.94871,-73.69171,10580,M,\/Date(1575473333000)\/
WL19014500,40.97328,-73.72162,10528,M,\/Date(1575474662000)\/
WL19014504,41.00721,-73.87922,10522,P,\/Date(1575477421000)\/
WL19014544,40.98336,-73.72174,10528,M,\/Date(1575515337000)\/
WL19014549,40.90574,-73.79281,10801,M,\/Date(1575553208000)\/
WL19014551,41.12853,-73.70273,10504,M,\/Date(1575554667000)\/
WL19014571,40.94811,-73.77764,10804,M,\/Date(1575571756000)\/
WL19014614,40.94466,-73.8804,10701,M,\/Date(1575651781000)\/
WL19014623,40.93583,-73.79234,10804,M,\/Date(1575659177000)\/
WL19014643,41.00759,-73.87917,10522,M,\/Date(1575698926000)\/
WL19014644,40.92131,-73.78979,10801,M,\/Date(1575703383000)\/
WL19014689,40.98181,-73.70115,10580,M,\/Date(1575818230000)\/
WL19014762,41.26099,-73.77553,10598,M,\/Date(1576001580000)\/
XL18005966,40.81532,-73.9306,10451,M,\/Date(1526344415000)\/
XL19004681,40.91124,-73.9063,10471,M,\/Date(1554919191000)\/
XL19007996,40.81922,-73.90442,10456,M,\/Date(1561298606000)\/
XL19009240,40.88379,-73.85306,10466,M,\/Date(1563632314000)\/
XL19011962,40.82997,-73.86012,10472,P,\/Date(1568656102000)\/
XL19012109,40.8114,-73.90679,10455,M,\/Date(1568905022000)\/
XL19013105,40.82766,-73.92604,10451,P,\/Date(1570722320000)\/
XL19013278,40.81713,-73.90507,10455,M,\/Date(1571072861000)\/
XL19013544,40.86897,-73.89477,10468,M,\/Date(1571580524000)\/
XL19014233,40.86115,-73.897,10458,M,\/Date(1572791140000)\/
XL19014574,40.82747,-73.92616,10451,M,\/Date(1573481008000)\/
XL19014737,40.88971,-73.90279,10471,M,\/Date(1573755812000)\/
XL19014738,40.82863,-73.91141,10456,M,\/Date(1573756234000)\/
XL19014924,40.87637,-73.82428,10475,M,\/Date(1574092150000)\/
XL19014937,40.85847,-73.8525,10469,M,\/Date(1574103395000)\/
XL19015393,40.83763,-73.85384,10462,M,\/Date(1574780880000)\/
XL19015764,40.85045,-73.7844,10464,M,\/Date(1575561866000)\/
XL19015830,40.87243,-73.89894,10468,M,\/Date(1575660688000)\/
XL19015874,40.82285,-73.87933,10473,P,\/Date(1575739452000)\/
XL19015908,40.84474,-73.90759,10457,M,\/Date(1575817894000)\/
XL19015986,40.83082,-73.8172,10465,P,\/Date(1575986463000)\/
XL19015991,40.8192,-73.89576,10459,M,\/Date(1575990448000)\/
XL19016000,40.80867,-73.85194,10473,M,\/Date(1575997546000)\/
----------,-----,-----,-----,----,-----
QL18004912,40.75644,-73.80735,11358,M,\/Date(1530125443000)\/
WL18009064,41.15131,-73.76978,10514,M,\/Date(1533908024000)\/
WL19000217,41.02267,-73.87048,10522,M,\/Date(1546890629000)\/
WL19001940,41.04208,-73.74286,10604,M,\/Date(1549897929000)\/
WL19001972,41.006,-73.68206,10573,M,\/Date(1549914073000)\/
WL19000619,40.93447,-73.79094,10804,M,\/Date(1547581387000)\/
WL19002215,40.92179,-73.85308,10704,M,\/Date(1550345300000)\/
WL19000734,40.96744,-73.73648,10543,M,\/Date(1547819505000)\/
WL19000754,40.9279,-73.83229,10552,M,\/Date(1547835079000)\/
ML19003831,40.77168,-73.97763,10023,M,\/Date(1551966025000)\/
WL19001708,40.91508,-73.84718,10550,M,\/Date(1549466686000)\/
WL19001720,40.94931,-73.83468,10708,M,\/Date(1549475000000)\/
WL19001552,41.01017,-73.754,10605,M,\/Date(1549286929000)\/
WL19003540,40.95609,-73.71953,10543,M,\/Date(1552925046000)\/
ML19004663,40.75472,-73.97591,10017,M,\/Date(1553211480000)\/
ML19005447,40.80325,-73.96749,10025,M,\/Date(1554403835000)\/
WL19003737,40.91848,-73.84776,10704,M,\/Date(1553291391000)\/
ML19001225,40.75402,-73.97419,10017,M,\/Date(1548123352000)\/
ML19007355,40.71182,-74.00827,10007,M,\/Date(1557547564000)\/
WL19005529,41.00428,-73.67043,10573,M,\/Date(1557329683000)\/
QL19003739,40.71248,-74.0062,10007,M,\/Date(1558535801000)\/
WL19006278,40.91559,-73.8222,10553,M,\/Date(1558783904000)\/
QL19003872,40.73169,-73.82568,11367,M,\/Date(1559233935000)\/
WL19004326,40.93299,-73.79124,10804,M,\/Date(1554654418000)\/
XL19004681,40.91124,-73.9063,10471,M,\/Date(1554919191000)\/
QL19002795,40.75786,-73.83412,11354,M,\/Date(1555029654000)\/
WL19004496,40.96739,-73.78774,10804,M,\/Date(1555007242000)\/
WL19006204,40.94422,-73.86053,10701,M,\/Date(1558624277000)\/
WL19006263,41.00924,-73.66526,10573,M,\/Date(1558709755000)\/
WL19007383,41.18485,-73.84476,10562,M,\/Date(1561157256000)\/
WL19007610,40.95516,-73.72869,10543,M,\/Date(1561664516000)\/
ML19009693,40.70516,-74.00999,10005,P,\/Date(1561248083000)\/
WL19007749,40.96278,-73.80429,10709,M,\/Date(1562073356000)\/
ML19010411,40.73267,-73.9816,10003,M,\/Date(1562699052000)\/
WL19007956,40.94618,-73.75551,10538,M,\/Date(1562683948000)\/
WL17007806,40.99023,-73.8232,10583,M,\/Date(1502306612000)\/
QL19004565,40.75052,-73.7938,11358,M,\/Date(1561563909000)\/
WL19008262,41.15093,-73.77376,10514,M,\/Date(1563377320000)\/
WL19008670,41.00518,-73.83689,10502,M,\/Date(1564336820000)\/
QL19006794,40.78726,-73.84473,11356,M,\/Date(1569256103000)\/
WL19011463,40.91451,-73.89688,10705,M,\/Date(1569765275000)\/
WL19011912,40.96384,-73.80527,10709,M,\/Date(1570736059000)\/
XL19013105,40.82766,-73.92604,10451,P,\/Date(1570722320000)\/
WL19012163,40.91132,-73.88899,10705,M,\/Date(1571177132000)\/
WL19012288,41.01797,-73.75686,10605,M,\/Date(1571421435000)\/
WL19012578,41.03174,-73.68545,10573,M,\/Date(1571941485000)\/
ML19016698,40.7623,-73.97236,10022,P,\/Date(1572050342000)\/
WL19012606,41.02704,-73.68682,10573,M,\/Date(1572016237000)\/
WL19012629,40.96669,-73.77363,10804,M,\/Date(1572032010000)\/
ML19016971,40.82015,-73.94952,10031,M,\/Date(1572445548000)\/
WL19012864,41.021,-73.69033,10573,M,\/Date(1572471388000)\/
WL19012951,40.93742,-73.83189,10708,M,\/Date(1572702057000)\/
WL19012048,41.1662,-73.77858,10514,M,\/Date(1571004133000)\/
QL19007363,40.74771,-73.77475,11364,M,\/Date(1571062595000)\/
XL19013278,40.81713,-73.90507,10455,M,\/Date(1571072861000)\/
WL19013082,40.93701,-73.7936,10804,M,\/Date(1572962623000)\/
WL19013103,41.00294,-73.66641,10573,M,\/Date(1572972618000)\/
WL19013187,41.00698,-73.78679,10583,M,\/Date(1573074727000)\/
WL19013199,40.96404,-73.79602,10804,M,\/Date(1573088557000)\/
ML19017662,40.71472,-73.99198,10002,M,\/Date(1573310405000)\/
QL19007441,40.74665,-73.71763,11004,M,\/Date(1571234563000)\/
WL19012182,40.93436,-73.84828,10708,M,\/Date(1571236526000)\/
WL19012658,40.90537,-73.81209,10803,M,\/Date(1572114796000)\/
QL19008127,40.76013,-73.77501,11361,P,\/Date(1572811908000)\/
XL19014233,40.86115,-73.897,10458,M,\/Date(1572791140000)\/
ML19017533,40.73597,-73.99567,10011,M,\/Date(1573149250000)\/
QL19008283,40.74348,-73.87057,11373,M,\/Date(1573132520000)\/
QL19008327,40.75178,-73.76709,11364,M,\/Date(1573163278000)\/
XL19014574,40.82747,-73.92616,10451,M,\/Date(1573481008000)\/
WL19012982,40.99278,-73.80303,10583,M,\/Date(1572739949000)\/
ML19017625,40.751,-73.98778,10018,M,\/Date(1573241812000)\/
WL19013256,41.30063,-73.7931,10598,M,\/Date(1573220816000)\/
WL19013352,40.94836,-73.76624,10538,M,\/Date(1573421619000)\/
QL19008577,40.74292,-73.77616,11365,M,\/Date(1573776584000)\/
WL19013545,40.94275,-73.7558,10538,M,\/Date(1573758167000)\/
WL19013551,40.93964,-73.79897,10804,M,\/Date(1573759496000)\/
XL19014737,40.88971,-73.90279,10471,M,\/Date(1573755812000)\/
XL19014738,40.82863,-73.91141,10456,M,\/Date(1573756234000)\/
QL19008585,40.76676,-73.76452,11361,M,\/Date(1573831282000)\/
WL19000570,40.89496,-73.77982,10805,M,\/Date(1547497488000)\/
WL19013588,41.08435,-73.77727,10595,M,\/Date(1573827195000)\/
WL19013616,40.98191,-73.83191,10710,M,\/Date(1573838812000)\/
ML19018126,40.84209,-73.92623,10452,M,\/Date(1573967503000)\/
QL19008627,40.74871,-73.77522,11364,M,\/Date(1573951803000)\/
WL19013475,40.96344,-73.77793,10804,M,\/Date(1573667768000)\/
WL19013728,40.9279,-73.83229,10552,M,\/Date(1574091264000)\/
XL19014924,40.87637,-73.82428,10475,M,\/Date(1574092150000)\/
XL19014937,40.85847,-73.8525,10469,M,\/Date(1574103395000)\/
WL19013864,41.03663,-73.76512,10601,M,\/Date(1574280129000)\/
WL19013973,40.91051,-73.8876,10705,M,\/Date(1574437968000)\/
ML19018545,40.85471,-73.92798,10040,P,\/Date(1574534709000)\/
WL19014004,41.01666,-73.6852,10573,M,\/Date(1574523869000)\/
WL19014022,41.20945,-73.73165,10549,M,\/Date(1574547546000)\/
WL19014447,40.96816,-73.80989,10709,M,\/Date(1575379895000)\/
WL19014479,40.99915,-73.88165,10706,M,\/Date(1575410838000)\/
ML19019101,40.76531,-73.96384,10065,M,\/Date(1575464542000)\/
QL19009181,40.75517,-73.76488,11364,M,\/Date(1575482541000)\/
WL19014493,40.9707,-73.78125,10804,M,\/Date(1575468636000)\/
WL19014498,40.94871,-73.69171,10580,M,\/Date(1575473333000)\/
WL19014500,40.97328,-73.72162,10528,M,\/Date(1575474662000)\/
WL19014504,41.00721,-73.87922,10522,P,\/Date(1575477421000)\/
WL19014544,40.98336,-73.72174,10528,M,\/Date(1575515337000)\/
QL19009224,40.72777,-73.72577,11426,P,\/Date(1575563974000)\/
WL19014549,40.90574,-73.79281,10801,M,\/Date(1575553208000)\/
WL19014551,41.12853,-73.70273,10504,M,\/Date(1575554667000)\/
WL19014571,40.94811,-73.77764,10804,M,\/Date(1575571756000)\/
XL19015764,40.85045,-73.7844,10464,M,\/Date(1575561866000)\/
ML19019215,40.77053,-73.96844,10065,M,\/Date(1575647363000)\/
QL19009252,40.74807,-73.72101,11004,P,\/Date(1575640498000)\/
QL19009253,40.77335,-73.81141,11354,M,\/Date(1575641286000)\/
QL19009264,40.73859,-73.79726,11365,P,\/Date(1575651263000)\/
WL19014614,40.94466,-73.8804,10701,M,\/Date(1575651781000)\/
WL19014623,40.93583,-73.79234,10804,M,\/Date(1575659177000)\/
WL19014643,41.00759,-73.87917,10522,M,\/Date(1575698926000)\/
XL19015830,40.87243,-73.89894,10468,M,\/Date(1575660688000)\/
QL19009296,40.70015,-73.78396,11433,M,\/Date(1575735113000)\/
XL19015874,40.82285,-73.87933,10473,P,\/Date(1575739452000)\/
ML19019323,40.72398,-73.98605,10009,M,\/Date(1575815548000)\/
ML19019328,40.72216,-74.01168,10013,M,\/Date(1575825710000)\/
ML19019360,40.71669,-73.9863,10002,P,\/Date(1575869193000)\/
QL19009326,40.73931,-73.78566,11365,M,\/Date(1575819139000)\/
ML19018255,40.78684,-73.94526,10029,M,\/Date(1574174432000)\/
QL19008716,40.73265,-73.74766,11427,M,\/Date(1574204200000)\/
WL19013822,40.95447,-73.79823,10804,M,\/Date(1574220696000)\/
QL19009332,40.73488,-73.74941,11427,P,\/Date(1575852916000)\/
QL19009334,40.74209,-73.77583,11365,M,\/Date(1575856224000)\/
WL19014689,40.98181,-73.70115,10580,M,\/Date(1575818230000)\/
XL19015908,40.84474,-73.90759,10457,M,\/Date(1575817894000)\/
ML19019382,40.7781,-73.94555,10128,M,\/Date(1575921442000)\/
QL19009338,40.73057,-73.72517,11426,P,\/Date(1575898673000)\/
WL19014762,41.26099,-73.77553,10598,M,\/Date(1576001580000)\/
XL19015986,40.83082,-73.8172,10465,P,\/Date(1575986463000)\/
XL19015991,40.8192,-73.89576,10459,M,\/Date(1575990448000)\/
XL19016000,40.80867,-73.85194,10473,M,\/Date(1575997546000)\/
QL19008776,40.72636,-73.78429,11432,M,\/Date(1574351371000)\/
WL19013899,40.92204,-73.78255,10801,M,\/Date(1574346362000)\/
WL19013904,40.96977,-73.69237,10580,M,\/Date(1574349182000)\/
WL19013907,40.91575,-73.79507,10801,M,\/Date(1574349761000)\/
WL19013921,40.98962,-73.72138,10528,M,\/Date(1574356202000)\/
WL19013950,40.97937,-73.67842,10580,M,\/Date(1574398697000)\/
QL19008982,40.78938,-73.82366,11357,M,\/Date(1574792182000)\/
WL19014309,40.97699,-73.77547,10583,M,\/Date(1574957525000)\/
XL18005966,40.81532,-73.9306,10451,M,\/Date(1526344415000)\/
WL19002393,41.15429,-73.85989,10562,M,\/Date(1550775971000)\/
QL18008408,40.78152,-73.81713,11357,M,\/Date(1541770235000)\/
WL19006302,40.94876,-73.76571,10538,M,\/Date(1558907555000)\/
WL19006523,40.954,-73.72552,10543,M,\/Date(1559583113000)\/
ML19008617,40.75372,-73.97743,10017,M,\/Date(1559650786000)\/
ML19008706,40.79219,-73.94255,10029,M,\/Date(1559753733000)\/
QL19004060,40.72929,-73.72616,11426,P,\/Date(1559918928000)\/
WL19007151,41.01079,-73.65972,10573,M,\/Date(1560611377000)\/
WL19007159,41.13583,-73.85834,10510,M,\/Date(1560631481000)\/
XL19007996,40.81922,-73.90442,10456,M,\/Date(1561298606000)\/
WL19007098,41.04866,-73.85479,10533,M,\/Date(1560524874000)\/
WL19007304,40.91142,-73.88905,10705,P,\/Date(1560992584000)\/
WL19008220,41.16097,-73.76753,10514,M,\/Date(1563293817000)\/
WL19008235,41.02989,-73.8665,10533,M,\/Date(1563305699000)\/
ML19010899,40.74312,-74.00274,10011,M,\/Date(1563547912000)\/
ML19011112,40.83157,-73.94299,10032,M,\/Date(1563975878000)\/
WL19008334,41.00801,-73.87959,10522,M,\/Date(1563504599000)\/
XL19009240,40.88379,-73.85306,10466,M,\/Date(1563632314000)\/
WL19008890,41.02997,-73.86585,10533,M,\/Date(1564850295000)\/
WL19009072,41.01787,-73.73035,10605,M,\/Date(1565281140000)\/
WL19009118,41.04031,-73.77239,10603,M,\/Date(1565367074000)\/
WL19009315,41.16423,-73.77766,10514,M,\/Date(1565804279000)\/
WL19009341,41.29223,-73.78134,10598,M,\/Date(1565882233000)\/
WL19009344,40.91798,-73.82516,10550,M,\/Date(1565882992000)\/
WL19009349,40.95379,-73.77854,10804,M,\/Date(1565887945000)\/
ML19012341,40.78889,-73.97042,10024,M,\/Date(1565990825000)\/
WL19009632,40.94043,-73.898,10701,M,\/Date(1566557678000)\/
WL19009811,40.95506,-73.72896,10543,M,\/Date(1566753058000)\/
ML19013467,40.70516,-74.00999,10005,P,\/Date(1567726846000)\/
WL19010282,40.9404,-73.77872,10804,M,\/Date(1567694797000)\/
ML19012851,40.75385,-73.9738,10017,M,\/Date(1566829806000)\/
WL19009830,41.02333,-73.76261,10605,M,\/Date(1566829261000)\/
WL19009840,40.9559,-73.83068,10707,M,\/Date(1566837521000)\/
XL19011962,40.82997,-73.86012,10472,P,\/Date(1568656102000)\/
QL19006671,40.76396,-73.79784,11358,M,\/Date(1568821220000)\/
ML19014455,40.7238,-73.98564,10009,M,\/Date(1568920352000)\/
WL19010997,40.96053,-73.68665,10580,M,\/Date(1568903488000)\/
XL19012109,40.8114,-73.90679,10455,M,\/Date(1568905022000)\/
QL19006735,40.7664,-73.73538,11362,M,\/Date(1569015736000)\/
WL19011060,40.94103,-73.82635,10708,M,\/Date(1568991020000)\/
WL19011075,40.98416,-73.88071,10706,M,\/Date(1568999360000)\/
QL19006833,40.77905,-73.909,11105,M,\/Date(1569373609000)\/
QL19006042,40.76377,-73.78737,11358,M,\/Date(1567167736000)\/
QL19006050,40.77394,-73.79238,11358,M,\/Date(1567179835000)\/
QL19006866,40.75589,-73.79377,11358,M,\/Date(1569451083000)\/
WL19011272,41.13798,-73.85739,10510,M,\/Date(1569437343000)\/
WL19011352,41.16382,-73.77702,10514,M,\/Date(1569597459000)\/
WL19011381,41.06503,-73.85259,10591,M,\/Date(1569609893000)\/
ML19015054,40.76061,-73.96434,10022,P,\/Date(1569881101000)\/
WL19011719,41.04609,-73.78983,10603,M,\/Date(1570296227000)\/
QL19006654,40.75768,-73.78011,11361,M,\/Date(1568746240000)\/
QL19007058,40.77006,-73.8457,11354,P,\/Date(1570035733000)\/
WL19011595,40.93615,-73.79246,10804,M,\/Date(1570036720000)\/
WL19011667,41.00832,-73.69052,10573,M,\/Date(1570202450000)\/
WL19010513,41.03575,-73.86528,10533,M,\/Date(1567977982000)\/
ML19013839,40.76297,-73.97188,10022,P,\/Date(1568076616000)\/
QL19006350,40.75066,-73.78429,11365,M,\/Date(1568050022000)\/
WL19010588,41.03575,-73.86528,10533,M,\/Date(1568127455000)\/
WL19010625,40.9441,-73.74502,10543,M,\/Date(1568212130000)\/
ML19014071,40.74166,-74.00113,10011,M,\/Date(1568411569000)\/
XL19013544,40.86897,-73.89477,10468,M,\/Date(1571580524000)\/
ML19016353,40.77316,-73.9819,10023,P,\/Date(1571670380000)\/
WL19012922,40.93926,-73.77171,10804,M,\/Date(1572625951000)\/
ML19018685,40.77099,-73.96762,10021,M,\/Date(1574737285000)\/
QL19008929,40.7503,-73.81877,11355,M,\/Date(1574702940000)\/
WL19014155,41.07208,-73.8589,10591,M,\/Date(1574712847000)\/
ML19018711,40.73424,-73.99975,10014,M,\/Date(1574782721000)\/
QL19008963,40.72236,-73.80969,11366,M,\/Date(1574779021000)\/
WL19014191,40.94996,-73.84873,10710,M,\/Date(1574772908000)\/
WL19014202,41.13303,-73.83628,10510,M,\/Date(1574781486000)\/
WL19014203,41.18998,-73.87127,10562,M,\/Date(1574781562000)\/
WL19014222,40.93555,-73.79224,10804,M,\/Date(1574791129000)\/
QL19009018,40.78805,-73.84566,11356,M,\/Date(1574879757000)\/
ML19018928,40.75118,-73.98775,10018,M,\/Date(1575149368000)\/
ML19018965,40.79983,-73.94612,10029,M,\/Date(1575222405000)\/
ML19019473,40.7435,-74.00185,10011,M,\/Date(1576083263000)\/
ML19019474,40.74613,-73.99788,10001,M,\/Date(1576083340000)\/
ML19019504,40.78855,-73.94898,10029,M,\/Date(1576113982000)\/
QL19009422,40.74645,-73.82433,11355,P,\/Date(1576081329000)\/
WL19014785,40.97056,-73.78154,10804,M,\/Date(1576075747000)\/
WL19014798,41.22299,-73.71501,10507,M,\/Date(1576083600000)\/
WL19014811,40.94234,-73.75574,10538,M,\/Date(1576099259000)\/
----------,-----,-----,-----,----,-----
QL18004912,40.75644,-73.80735,11358,M,\/Date(1530125443000)\/
WL18009064,41.15131,-73.76978,10514,M,\/Date(1533908024000)\/
WL19000217,41.02267,-73.87048,10522,M,\/Date(1546890629000)\/
WL19001940,41.04208,-73.74286,10604,M,\/Date(1549897929000)\/
WL19001972,41.006,-73.68206,10573,M,\/Date(1549914073000)\/
WL19000619,40.93447,-73.79094,10804,M,\/Date(1547581387000)\/
WL19002215,40.92179,-73.85308,10704,M,\/Date(1550345300000)\/
WL19000734,40.96744,-73.73648,10543,M,\/Date(1547819505000)\/
WL19000754,40.9279,-73.83229,10552,M,\/Date(1547835079000)\/
ML19003831,40.77168,-73.97763,10023,M,\/Date(1551966025000)\/
WL19001708,40.91508,-73.84718,10550,M,\/Date(1549466686000)\/
WL19001720,40.94931,-73.83468,10708,M,\/Date(1549475000000)\/
WL19001552,41.01017,-73.754,10605,M,\/Date(1549286929000)\/
WL19003540,40.95609,-73.71953,10543,M,\/Date(1552925046000)\/
ML19004663,40.75472,-73.97591,10017,M,\/Date(1553211480000)\/
ML19005447,40.80325,-73.96749,10025,M,\/Date(1554403835000)\/
WL19003737,40.91848,-73.84776,10704,M,\/Date(1553291391000)\/
ML19001225,40.75402,-73.97419,10017,M,\/Date(1548123352000)\/
ML19007355,40.71182,-74.00827,10007,M,\/Date(1557547564000)\/
WL19005529,41.00428,-73.67043,10573,M,\/Date(1557329683000)\/
QL19003739,40.71248,-74.0062,10007,M,\/Date(1558535801000)\/
WL19006278,40.91559,-73.8222,10553,M,\/Date(1558783904000)\/
QL19003872,40.73169,-73.82568,11367,M,\/Date(1559233935000)\/
WL19004326,40.93299,-73.79124,10804,M,\/Date(1554654418000)\/
XL19004681,40.91124,-73.9063,10471,M,\/Date(1554919191000)\/
QL19002795,40.75786,-73.83412,11354,M,\/Date(1555029654000)\/
WL19004496,40.96739,-73.78774,10804,M,\/Date(1555007242000)\/
WL19006204,40.94422,-73.86053,10701,M,\/Date(1558624277000)\/
WL19006263,41.00924,-73.66526,10573,M,\/Date(1558709755000)\/
WL19007383,41.18485,-73.84476,10562,M,\/Date(1561157256000)\/
WL19007610,40.95516,-73.72869,10543,M,\/Date(1561664516000)\/
ML19009693,40.70516,-74.00999,10005,P,\/Date(1561248083000)\/
WL19007749,40.96278,-73.80429,10709,M,\/Date(1562073356000)\/
ML19010411,40.73267,-73.9816,10003,M,\/Date(1562699052000)\/
WL19007956,40.94618,-73.75551,10538,M,\/Date(1562683948000)\/
WL17007806,40.99023,-73.8232,10583,M,\/Date(1502306612000)\/
QL19004565,40.75052,-73.7938,11358,M,\/Date(1561563909000)\/
WL19008262,41.15093,-73.77376,10514,M,\/Date(1563377320000)\/
WL19008670,41.00518,-73.83689,10502,M,\/Date(1564336820000)\/
QL19006794,40.78726,-73.84473,11356,M,\/Date(1569256103000)\/
WL19011463,40.91451,-73.89688,10705,M,\/Date(1569765275000)\/
WL19011912,40.96384,-73.80527,10709,M,\/Date(1570736059000)\/
XL19013105,40.82766,-73.92604,10451,P,\/Date(1570722320000)\/
WL19012163,40.91132,-73.88899,10705,M,\/Date(1571177132000)\/
WL19012288,41.01797,-73.75686,10605,M,\/Date(1571421435000)\/
WL19012629,40.96669,-73.77363,10804,M,\/Date(1572032010000)\/
ML19016971,40.82015,-73.94952,10031,M,\/Date(1572445548000)\/
WL19012951,40.93742,-73.83189,10708,M,\/Date(1572702057000)\/
WL19012048,41.1662,-73.77858,10514,M,\/Date(1571004133000)\/
QL19007363,40.74771,-73.77475,11364,M,\/Date(1571062595000)\/
XL19013278,40.81713,-73.90507,10455,M,\/Date(1571072861000)\/
WL19013082,40.93701,-73.7936,10804,M,\/Date(1572962623000)\/
WL19013103,41.00294,-73.66641,10573,M,\/Date(1572972618000)\/
